Total execution time: 102900.0 ms.
Frame 167 processed in 430 milliseconds.
Frame 168 processed in 440 milliseconds.
Frame 169 processed in 430 milliseconds.
Frame 170 processed in 440 milliseconds.
Frame 171 processed in 430 milliseconds.
Frame 172 processed in 430 milliseconds.
Frame 173 processed in 430 milliseconds.
Frame 174 processed in 440 milliseconds.
Frame 175 processed in 430 milliseconds.
Frame 176 processed in 430 milliseconds.
Frame 177 processed in 440 milliseconds.
Frame 178 processed in 430 milliseconds.
Frame 179 processed in 440 milliseconds.
Frame 180 processed in 430 milliseconds.
Frame 181 processed in 430 milliseconds.
Frame 182 processed in 430 milliseconds.
Frame 183 processed in 430 milliseconds.
Frame 184 processed in 430 milliseconds.
Frame 185 processed in 430 milliseconds.
Frame 186 processed in 440 milliseconds.
Frame 187 processed in 440 milliseconds.
Frame 188 processed in 420 milliseconds.
Frame 189 processed in 440 milliseconds.
Frame 190 processed in 440 milliseconds.
Frame 191 processed in 430 milliseconds.
Frame 192 processed in 430 milliseconds.
Frame 193 processed in 430 milliseconds.
Frame 194 processed in 440 milliseconds.
Frame 195 processed in 430 milliseconds.
Frame 196 processed in 430 milliseconds.
Frame 197 processed in 430 milliseconds.
Frame 198 processed in 440 milliseconds.
Frame 199 processed in 430 milliseconds.
Frame 200 processed in 430 milliseconds.
Frame 201 processed in 430 milliseconds.
Frame 202 processed in 440 milliseconds.
Frame 203 processed in 430 milliseconds.
Frame 204 processed in 430 milliseconds.
Frame 205 processed in 440 milliseconds.
Frame 206 processed in 430 milliseconds.
Frame 207 processed in 430 milliseconds.
Frame 208 processed in 430 milliseconds.
Frame 209 processed in 440 milliseconds.
Frame 210 processed in 430 milliseconds.
Frame 211 processed in 440 milliseconds.
Frame 212 processed in 430 milliseconds.
Frame 213 processed in 430 milliseconds.
Frame 214 processed in 430 milliseconds.
Frame 215 processed in 440 milliseconds.
Frame 216 processed in 430 milliseconds.
Frame 217 processed in 430 milliseconds.
Frame 218 processed in 440 milliseconds.
Frame 219 processed in 430 milliseconds.
Frame 220 processed in 430 milliseconds.
Frame 221 processed in 430 milliseconds.
Frame 222 processed in 430 milliseconds.
Frame 223 processed in 440 milliseconds.
Frame 224 processed in 420 milliseconds.
Frame 225 processed in 430 milliseconds.
Frame 226 processed in 430 milliseconds.
Frame 227 processed in 430 milliseconds.
Frame 228 processed in 440 milliseconds.
Frame 229 processed in 430 milliseconds.
Frame 230 processed in 430 milliseconds.
Frame 231 processed in 430 milliseconds.
Frame 232 processed in 430 milliseconds.
Frame 233 processed in 430 milliseconds.
Frame 234 processed in 430 milliseconds.
Frame 235 processed in 430 milliseconds.
Frame 236 processed in 430 milliseconds.
Frame 237 processed in 430 milliseconds.
Frame 238 processed in 430 milliseconds.
